Oxymax CSV File 

CSV Generation Date,2017-09-27 7:46:36 AM 
Experiment Started,2017-09-25 7:39:41 AM 
Data Filename,C:\Users\username\Documents\OxyMax.CDTA

Group/Cage,0103
O2 Calibration Date,2017-09-25 7:26:11 AM
CO2 Calibration Date,2017-09-25 7:21:04 AM
Subject ID,1MD1
Subject Mass (G), 1531 

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=8
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,STATUS2,FEED2,FEED2 ACC,XTOT,XAMB,ZTOT,RH SAMP,RH REF,RH PURGE,RH AMB,TEMP AMB,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/hr,LPM,,GRAMS,GRAMS,,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,%,%,%,%,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
110,0103,2017-09-26 4:29:51 PM ,1202,20.88,20.41,0.47,19.6,1094,0.053,0.486,0.434,17.5,0.910,2.7,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,303,134,52,1.1,32.8,0.0,ERR:0,99.7,
111,0103,2017-09-26 4:47:51 PM ,1099,20.88,20.46,0.42,19.7,930,0.053,0.421,0.369,17.6,0.846,2.4,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,42,13,0,1.1,32.8,ERR:0,ERR:0,99.7,
112,0103,2017-09-26 5:05:51 PM ,961,20.88,20.51,0.37,19.8,791,0.052,0.366,0.314,17.7,0.823,2.1,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,24,5,0,1.0,32.6,ERR:0,ERR:0,99.5,
113,0103,2017-09-26 5:23:51 PM ,1223,20.88,20.41,0.47,20.0,1089,0.052,0.484,0.432,17.9,0.891,2.7,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,524,304,54,1.1,33.0,ERR:0,ERR:0,99.7,
114,0103,2017-09-26 5:41:51 PM ,1198,20.88,20.42,0.47,20.2,1083,0.053,0.482,0.429,18.0,0.904,2.7,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,58,9,0,1.1,33.1,ERR:0,ERR:0,99.7,
115,0103,2017-09-26 5:59:51 PM ,1079,20.88,20.46,0.42,20.3,984,0.052,0.442,0.390,18.2,0.912,2.4,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,27,9,0,1.1,33.0,0.0,ERR:0,99.7,
116,0103,2017-09-26 6:17:51 PM ,1261,20.88,20.39,0.49,20.5,1147,0.053,0.508,0.455,18.3,0.910,2.8,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,332,186,25,1.1,32.7,0.0,ERR:0,99.7,
117,0103,2017-09-26 6:35:51 PM ,1177,20.88,20.42,0.46,20.6,1085,0.053,0.483,0.430,18.4,0.922,2.7,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,23,8,0,1.1,33.0,ERR:0,ERR:0,99.7,
118,0103,2017-09-26 6:53:51 PM ,1140,20.88,20.44,0.45,20.8,1062,0.052,0.473,0.421,18.6,0.931,2.6,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,22,7,15,1.1,32.9,0.0,ERR:0,99.7,
119,0103,2017-09-26 7:11:51 PM ,1296,20.88,20.38,0.51,21.0,1217,0.052,0.534,0.482,18.8,0.939,2.9,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,323,184,57,1.1,32.8,0.0,ERR:0,99.7,
120,0103,2017-09-26 7:29:51 PM ,1279,20.88,20.38,0.50,21.1,1212,0.053,0.533,0.480,18.9,0.947,2.9,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,163,64,48,1.1,32.8,0.0,ERR:0,99.7,
121,0103,2017-09-26 7:47:51 PM ,1237,20.88,20.40,0.48,21.3,1169,0.053,0.516,0.463,19.1,0.945,2.8,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,15,4,0,1.0,32.9,0.0,ERR:0,99.7,
122,0103,2017-09-26 8:05:51 PM ,1344,20.88,20.35,0.53,21.5,1279,0.053,0.560,0.507,19.2,0.952,3.1,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,142,31,36,1.1,33.0,0.0,ERR:0,99.7,
123,0103,2017-09-26 8:23:51 PM ,1345,20.88,20.35,0.53,21.7,1295,0.053,0.567,0.513,19.4,0.963,3.1,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,421,203,129,1.1,32.8,0.0,ERR:0,99.7,
124,0103,2017-09-26 8:41:51 PM ,1235,20.88,20.40,0.48,21.9,1131,0.053,0.501,0.448,19.6,0.915,2.8,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,41,7,0,1.1,33.0,0.0,ERR:0,99.7,
125,0103,2017-09-26 8:59:51 PM ,1332,20.88,20.36,0.52,22.0,1243,0.053,0.545,0.492,19.8,0.933,3.0,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,127,6,0,1.1,32.6,0.0,ERR:0,99.7,
126,0103,2017-09-26 9:17:51 PM ,1578,20.88,20.26,0.62,22.2,1509,0.052,0.650,0.598,19.9,0.956,3.6,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,761,363,213,1.1,32.9,ERR:0,ERR:0,99.7,
127,0103,2017-09-26 9:35:51 PM ,1713,20.88,20.21,0.67,22.5,1632,0.052,0.698,0.646,20.2,0.953,3.9,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,860,398,216,1.1,32.8,0.0,ERR:0,99.7,
128,0103,2017-09-26 9:53:51 PM ,1259,20.88,20.39,0.49,22.7,1203,0.052,0.528,0.476,20.4,0.956,2.9,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,50,15,4,1.1,32.9,0.0,ERR:0,99.7,
129,0103,2017-09-26 10:11:51 PM ,1311,20.88,20.37,0.51,22.8,1246,0.052,0.546,0.494,20.5,0.951,3.0,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,79,18,0,1.1,32.8,0.0,ERR:0,99.7,
130,0103,2017-09-26 10:29:51 PM ,1141,20.88,20.43,0.45,23.0,1095,0.052,0.486,0.434,20.7,0.959,2.6,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,20,9,0,1.1,32.9,0.0,ERR:0,99.7,
131,0103,2017-09-26 10:47:51 PM ,1584,20.88,20.26,0.62,23.2,1538,0.053,0.662,0.609,20.9,0.971,3.6,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,465,187,110,1.1,32.9,0.0,ERR:0,99.7,
132,0103,2017-09-26 11:05:51 PM ,1215,20.88,20.41,0.48,23.4,1146,0.053,0.507,0.454,21.0,0.943,2.8,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,17,4,0,1.1,33.0,0.0,ERR:0,99.7,
133,0103,2017-09-26 11:23:51 PM ,1327,20.88,20.36,0.52,23.6,1273,0.052,0.556,0.504,21.2,0.959,3.0,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,180,73,53,1.1,33.0,0.0,ERR:0,99.7,
134,0103,2017-09-26 11:41:51 PM ,1221,20.88,20.40,0.48,23.7,1146,0.052,0.506,0.454,21.4,0.939,2.8,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,14,5,0,1.1,33.0,0.0,ERR:0,99.7,
135,0103,2017-09-26 11:59:51 PM ,1187,20.88,20.42,0.46,23.9,1099,0.054,0.489,0.435,21.5,0.925,2.7,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,33,8,3,1.1,32.9,ERR:0,ERR:0,99.7,
136,0103,2017-09-27 12:17:51 AM ,1215,20.88,20.41,0.47,24.1,1114,0.053,0.494,0.441,21.7,0.917,2.7,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,32,5,0,1.1,32.9,0.0,ERR:0,99.7,
137,0103,2017-09-27 12:35:51 AM ,1201,20.88,20.41,0.47,24.2,1104,0.051,0.489,0.437,21.8,0.920,2.7,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,32,4,0,1.1,32.9,ERR:0,ERR:0,99.7,
138,0103,2017-09-27 12:53:51 AM ,1413,20.88,20.33,0.55,24.4,1322,0.051,0.575,0.523,22.0,0.935,3.2,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,339,182,25,1.1,32.9,0.0,ERR:0,99.7,
139,0103,2017-09-27 1:11:51 AM ,1292,20.88,20.38,0.50,24.6,1187,0.051,0.521,0.470,22.2,0.919,2.9,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,137,14,7,1.1,32.9,0.0,ERR:0,99.7,
140,0103,2017-09-27 1:29:51 AM ,1675,20.88,20.22,0.66,24.8,1609,0.052,0.689,0.637,22.4,0.961,3.8,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,705,344,244,1.1,33.0,0.0,ERR:0,99.7,
141,0103,2017-09-27 1:47:51 AM ,1362,20.88,20.35,0.53,25.0,1294,0.052,0.564,0.512,22.6,0.950,3.1,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,145,35,23,1.1,32.9,0.0,ERR:0,99.7,
142,0103,2017-09-27 2:05:51 AM ,1195,20.88,20.41,0.47,25.2,1150,0.053,0.508,0.455,22.7,0.962,2.7,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,28,7,0,1.1,33.1,0.0,ERR:0,99.7,
143,0103,2017-09-27 2:23:51 AM ,1195,20.88,20.41,0.47,25.3,1157,0.052,0.511,0.458,22.9,0.968,2.7,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,33,5,0,1.1,32.8,0.0,ERR:0,99.7,
144,0103,2017-09-27 2:41:51 AM ,1176,20.88,20.42,0.46,25.5,1130,0.052,0.500,0.448,23.0,0.961,2.7,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,32,5,0,1.1,33.1,0.0,ERR:0,99.7,
145,0103,2017-09-27 2:59:51 AM ,1122,20.88,20.44,0.44,25.7,1081,0.052,0.480,0.428,23.2,0.963,2.6,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,44,9,0,1.1,32.9,0.0,ERR:0,99.7,
146,0103,2017-09-27 3:17:51 AM ,1331,20.88,20.36,0.52,25.8,1294,0.052,0.564,0.513,23.4,0.973,3.0,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,254,94,57,1.1,33.0,0.0,ERR:0,99.7,
147,0103,2017-09-27 3:35:51 AM ,1257,20.88,20.39,0.49,26.0,1189,0.052,0.523,0.471,23.5,0.946,2.9,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,32,8,0,1.0,32.9,ERR:0,ERR:0,99.5,
148,0103,2017-09-27 3:53:51 AM ,1509,20.88,20.29,0.59,26.2,1448,0.052,0.625,0.573,23.7,0.959,3.4,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,272,21,7,1.1,32.9,ERR:0,ERR:0,99.7,
149,0103,2017-09-27 4:11:51 AM ,1356,20.88,20.35,0.53,26.4,1268,0.052,0.554,0.502,23.9,0.935,3.1,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,94,9,1,1.1,32.8,0.0,ERR:0,99.7,
150,0103,2017-09-27 4:29:51 AM ,1321,20.88,20.37,0.51,26.6,1218,0.051,0.534,0.482,24.1,0.922,3.0,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,132,11,34,1.0,33.0,ERR:0,ERR:0,99.5,
151,0103,2017-09-27 4:47:51 AM ,1615,20.88,20.25,0.63,26.8,1522,0.052,0.655,0.602,24.2,0.942,3.7,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,767,358,273,1.1,33.0,0.0,ERR:0,99.7,
152,0103,2017-09-27 5:05:51 AM ,1342,20.88,20.36,0.53,27.0,1282,0.053,0.561,0.508,24.4,0.956,3.1,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,74,6,0,1.1,33.0,0.0,ERR:0,99.7,
153,0103,2017-09-27 5:23:51 AM ,1442,20.88,20.32,0.57,27.2,1386,0.052,0.601,0.549,24.6,0.962,3.3,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,214,77,91,1.1,33.0,ERR:0,ERR:0,99.7,
154,0103,2017-09-27 5:41:51 AM ,1165,20.88,20.43,0.45,27.3,1083,0.053,0.481,0.429,24.8,0.929,2.6,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,108,42,25,1.0,32.9,ERR:0,ERR:0,99.5,
155,0103,2017-09-27 5:59:51 AM ,1049,20.88,20.47,0.41,27.5,987,0.052,0.443,0.391,24.9,0.940,2.4,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,23,7,0,1.1,32.9,0.0,ERR:0,99.7,
156,0103,2017-09-27 6:17:51 AM ,1184,20.88,20.42,0.46,27.6,1112,0.053,0.493,0.440,25.1,0.939,2.7,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,214,127,34,1.1,33.0,0.0,ERR:0,99.7,
157,0103,2017-09-27 6:35:51 AM ,1037,20.88,20.48,0.40,27.8,957,0.053,0.432,0.379,25.2,0.924,2.3,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,19,0,0,1.1,33.1,0.0,ERR:0,99.7,
158,0103,2017-09-27 6:53:51 AM ,987,20.88,20.49,0.39,27.9,935,0.052,0.422,0.370,25.3,0.947,2.2,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,14,2,0,1.1,33.1,0.0,ERR:0,99.7,
159,0103,2017-09-27 7:11:51 AM ,958,20.88,20.50,0.38,28.1,913,0.053,0.415,0.362,25.5,0.952,2.2,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,9,3,0,1.1,32.9,0.0,ERR:0,99.7,
160,0103,2017-09-27 7:29:51 AM ,1168,20.88,20.43,0.46,28.2,1084,0.053,0.483,0.429,25.6,0.927,2.6,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,47,10,0,1.1,33.0,0.0,ERR:0,99.7,
161,0103,12:00:00 AM ,0,0.00,0.00,0.00,0.0,0,0.000,0.000,0.000,0.0,0.000,0.0,0.00,,0.00,0.00,,0.00,0.00,0,0,0,ERR:0,ERR:0,ERR:0,ERR:0,ERR:0,

:EVENTS
===============,===============,===============,===============
INTERVAL,,DATE/TIME,DESC.
===============,===============,===============,===============
 85 ,,2017-09-26 9:02:59 AM ,tOP UP ON FOOD 
